StockExchange,Stock,StockTicker,Date,Open,High,Low,Close,AdjClose,Volume
NYSE,Google,GOOG,7/13/2020,"1,550.00","1,577.13","1,505.24","1,511.34","1,511.34",1846400
NYSE,Google,GOOG,7/14/2020,"1,490.31","1,522.95","1,483.50","1,520.58","1,520.58",1585000
NYSE,Google,GOOG,7/15/2020,"1,523.13","1,535.33","1,498.00","1,513.64","1,513.64",1610700
NYSE,Google,GOOG,7/16/2020,"1,500.00","1,518.69","1,486.31","1,518.00","1,518.00",1519300
NYSE,Google,GOOG,7/17/2020,"1,521.62","1,523.44","1,498.42","1,515.55","1,515.55",1456700
NYSE,Google,GOOG,7/20/2020,"1,515.26","1,570.29","1,503.60","1,565.72","1,565.72",1557300
NYSE,Google,GOOG,7/21/2020,"1,586.99","1,586.99","1,554.28","1,558.42","1,558.42",1218600
NYSE,Google,GOOG,7/22/2020,"1,560.50","1,570.00","1,546.10","1,568.49","1,568.49",932000
NYSE,Google,GOOG,7/23/2020,"1,566.97","1,571.87","1,507.39","1,515.68","1,515.68",1627600
NYSE,Google,GOOG,7/24/2020,"1,498.93","1,517.64","1,488.40","1,511.87","1,511.87",1544000
NYSE,Google,GOOG,7/27/2020,"1,515.60","1,540.97","1,515.21","1,530.20","1,530.20",1246000
NYSE,Google,GOOG,7/28/2020,"1,525.18","1,526.48","1,497.66","1,500.34","1,500.34",1702200
NYSE,Google,GOOG,7/29/2020,"1,506.32","1,531.25","1,501.33","1,522.02","1,522.02",1106500
NYSE,Google,GOOG,7/30/2020,"1,497.00","1,537.87","1,492.22","1,531.45","1,531.45",1671400
NYSE,Google,GOOG,7/31/2020,"1,505.01","1,508.95","1,454.03","1,482.96","1,482.96",3439900
NYSE,Google,GOOG,8/3/2020,"1,486.64","1,490.47","1,465.64","1,474.45","1,474.45",2330200
NYSE,Google,GOOG,8/4/2020,"1,476.57","1,485.56","1,458.65","1,464.97","1,464.97",1903500
NYSE,Google,GOOG,8/5/2020,"1,469.30","1,482.41","1,463.46","1,473.61","1,473.61",1979500
NYSE,Google,GOOG,8/6/2020,"1,471.75","1,502.39","1,466.00","1,500.10","1,500.10",1995400
NYSE,Google,GOOG,8/7/2020,"1,500.00","1,516.84","1,481.64","1,494.49","1,494.49",1576600
NYSE,Google,GOOG,8/10/2020,"1,487.18","1,504.07","1,473.08","1,496.10","1,496.10",1289300
